Título,Idioma,Extensión,Colección,link_descarga,link_epub,image_url,enlace_drive_exp
Sociología zoológica : nociones generales,Español,Lectura cómoda,Zoología y Botánica,http://bdh-rd.bne.es/high.raw?id=0000200468&name=00000001.epub&attachment=Sociolog%C3%ADa%20zool%C3%B3gica%20%3A%20nociones%20generales.epub,https://bdh-rd.bne.es/epub.vm?id=0000200468&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000200468&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1ezzvnpcmOKmDoeK8r_3e3z2J_1MWOJ7Y
El divorcio en España,Español,Lectura rápida,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000149063&name=00000001.epub&attachment=El%20divorcio%20en%20Espa%C3%B1a.epub,https://bdh-rd.bne.es/epub.vm?id=0000149063&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000149063&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1lj-81F9FNXNVPPtYBeVVl1r6wvIQI8hx
Un asunto tenebroso novela,Español,Lectura sustanciosa,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000269609&name=00000001.epub&attachment=Un%20asunto%20tenebroso%20novela.epub,https://bdh-rd.bne.es/epub.vm?id=0000269609&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000269609&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1GAu4HLnj6Ppl5Uba2-7Guf2trVIclDxt
España impresiones de un viaje hecho durante el reinado de Don Amadeo I,Español,Lectura sustanciosa,Viajes,http://bdh-rd.bne.es/high.raw?id=0000039062&name=00000001.epub&attachment=Espa%C3%B1a%20impresiones%20de%20un%20viaje%20hecho%20durante%20el%20reinado%20de%20Don%20Amadeo%20I.epub,https://bdh-rd.bne.es/epub.vm?id=0000039062&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000039062&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1VV9g_i08hubKW_F-BdF-nNq6a1QPZz-I
"Cervantes, viajero",Español,Lectura rápida,Viajes,http://bdh-rd.bne.es/high.raw?id=0000001213&name=00000001.epub&attachment=Cervantes%2C%20viajero.epub,https://bdh-rd.bne.es/epub.vm?id=0000001213&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000001213&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1NjPdqyfVLm3oZt1sn_4Z2FtjugdY11o2
Primer romancero gitano : 1924-1927,Español,Lectura rápida,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000200883&name=00000001.epub&attachment=Primer%20romancero%20gitano%20%3A%201924-1927.epub,https://bdh-rd.bne.es/epub.vm?id=0000200883&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000200883&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1l4KG5unA1aGE2uAw89iWAlta0Wdx8QTv
Obras en prosa de D. Enrique Gil y Carrasco,Español,Tocho apasionante,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000136753&name=00000001.epub&attachment=Obras%20en%20prosa%20de%20D.%20Enrique%20Gil%20y%20Carrasco.epub,https://bdh-rd.bne.es/epub.vm?id=0000136753&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000136753&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1Qmy8xhEBqD5LUcp__0ziQc3sOeuOuN4Z
Autobiografía y cartas (hasta ahora inéditas) de la ilustre poetisa Gertrudis Gómez de Avellaneda,Español,Lectura cómoda,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000088375&name=00000001.epub&attachment=Autobiograf%C3%ADa%20y%20cartas%20%28hasta%20ahora%20in%C3%A9ditas%29%20de%20la%20ilustre%20poetisa%20Gertrudis%20G%C3%B3mez%20de%20Avellaneda.epub,https://bdh-rd.bne.es/epub.vm?id=0000088375&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000088375&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1bz8B1khlYR4h7zW5MtOI0gn2a3tIpPIA
Cuentos de la Alhambra,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000091351&name=00000001.epub&attachment=Cuentos%20de%20la%20Alhambra.epub,https://bdh-rd.bne.es/epub.vm?id=0000091351&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000091351&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1BtNriLj91mTFzJNxN3XTaue-5rEWQOGQ
Historia del Emperador Carlos V (1500 a 1558),Español,Lectura sustanciosa,Historia de España,http://bdh-rd.bne.es/high.raw?id=0000239867&name=00000001.epub&attachment=Historia%20del%20Emperador%20Carlos%20V%20%281500%20a%201558%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000239867&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000239867&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1aqf5Hv--4Fc-z0p1d5WNwpPQlr_kpLIS
